COLLECTION,RUNTIME (ns),Threads,READOP,WRITEOP,TOTALOP
CopyOnWriteArrayList,258575549,38,500,500,1000
CopyOnWriteArrayList,256939983,39,500,500,1000
CopyOnWriteArrayList,289106206,40,500,500,1000
CopyOnWriteArrayList,304736555,41,500,500,1000
CopyOnWriteArrayList,306225038,42,500,500,1000
CopyOnWriteArrayList,313308547,43,500,500,1000
CopyOnWriteArrayList,314677290,44,500,500,1000
CopyOnWriteArrayList,341118412,45,500,500,1000
CopyOnWriteArrayList,343651425,46,500,500,1000
CopyOnWriteArrayList,372198628,47,500,500,1000
CopyOnWriteArrayList,386076629,48,500,500,1000
CopyOnWriteArrayList,403870634,49,500,500,1000
CopyOnWriteArrayList,402460442,50,500,500,1000
CopyOnWriteArrayList,429886247,51,500,500,1000
CopyOnWriteArrayList,431991884,52,500,500,1000
CopyOnWriteArrayList,472640473,53,500,500,1000
CopyOnWriteArrayList,471323331,54,500,500,1000
CopyOnWriteArrayList,492023041,55,500,500,1000
CopyOnWriteArrayList,500620829,56,500,500,1000
CopyOnWriteArrayList,519967002,57,500,500,1000
CopyOnWriteArrayList,525749097,58,500,500,1000
CopyOnWriteArrayList,556805105,59,500,500,1000
CopyOnWriteArrayList,578469822,60,500,500,1000
SynchronizedList,3584520,1,500,500,1000
SynchronizedList,1640432,2,500,500,1000
SynchronizedList,1785529,3,500,500,1000
SynchronizedList,2341396,4,500,500,1000
SynchronizedList,5295457,5,500,500,1000
SynchronizedList,5922971,6,500,500,1000
SynchronizedList,4643167,7,500,500,1000
SynchronizedList,1949809,8,500,500,1000
SynchronizedList,3414521,9,500,500,1000
SynchronizedList,5245471,10,500,500,1000
SynchronizedList,5691336,11,500,500,1000
SynchronizedList,3380090,12,500,500,1000
SynchronizedList,3465955,13,500,500,1000
SynchronizedList,5155701,14,500,500,1000
SynchronizedList,2578695,15,500,500,1000
SynchronizedList,3873305,16,500,500,1000
SynchronizedList,3186011,17,500,500,1000
SynchronizedList,5171392,18,500,500,1000
SynchronizedList,6347652,19,500,500,1000
SynchronizedList,17314947,20,500,500,1000
SynchronizedList,5934306,21,500,500,1000
SynchronizedList,19461704,22,500,500,1000
SynchronizedList,7474107,23,500,500,1000
SynchronizedList,10811875,24,500,500,1000
SynchronizedList,4028302,25,500,500,1000
SynchronizedList,4021111,26,500,500,1000
SynchronizedList,11714119,27,500,500,1000
SynchronizedList,11992168,28,500,500,1000
SynchronizedList,4727707,29,500,500,1000
SynchronizedList,4486029,30,500,500,1000
SynchronizedList,6507130,31,500,500,1000
SynchronizedList,6197125,32,500,500,1000
SynchronizedList,4542968,33,500,500,1000
SynchronizedList,4924923,34,500,500,1000
SynchronizedList,4177336,35,500,500,1000
SynchronizedList,5079249,36,500,500,1000
SynchronizedList,6452631,37,500,500,1000
SynchronizedList,6867247,38,500,500,1000
SynchronizedList,5484405,39,500,500,1000
SynchronizedList,7736840,40,500,500,1000
SynchronizedList,4930103,41,500,500,1000
SynchronizedList,6350343,42,500,500,1000
SynchronizedList,9641889,43,500,500,1000
SynchronizedList,4563793,44,500,500,1000
SynchronizedList,6757508,45,500,500,1000
SynchronizedList,6692568,46,500,500,1000
SynchronizedList,7600055,47,500,500,1000
SynchronizedList,6706123,48,500,500,1000
SynchronizedList,7575191,49,500,500,1000
SynchronizedList,6086017,50,500,500,1000
SynchronizedList,11748009,51,500,500,1000
SynchronizedList,11054441,52,500,500,1000
SynchronizedList,9261903,53,500,500,1000
SynchronizedList,6237572,54,500,500,1000
SynchronizedList,9608077,55,500,500,1000
SynchronizedList,7288029,56,500,500,1000
SynchronizedList,9139865,57,500,500,1000
SynchronizedList,6570242,58,500,500,1000
SynchronizedList,9090734,59,500,500,1000
SynchronizedList,6931244,60,500,500,1000
